cod_empresa|alerta|sequencia|num_programa|data_programa|cod_equip|num_ordem|ies_situa|cod_item_cliente|cod_item|operacao|qtd_planej|qtd_boas|horas_necessarias|qtd_percentual|obs_alerta
01|0|01|30252|2022-10-05 05:43:20|PR-0158|13940392|4|52156366|100000058903|007 - ESTAMPAR EM 03 ESTAGIOS|4000|728|9,349|0,182|
01|0|01|30253|2022-10-05 05:52:17|PR-0432|13936963|4|26247273|100000054807|007 - ESTAMPAR EM 03 ESTAGIOS|4000|274|15,525|0,069|
01|0|01|30253|2022-10-05 05:52:17|PR-0432|13936987|4|26240506|100000054808|007 - ESTAMPAR EM 03 ESTAGIOS|4000|274|15,525|0,069|
01|0|01|30253|2022-10-05 05:52:17|PR-0432|13937167|4|26247274|100000054907|007 - ESTAMPAR EM 03 ESTAGIOS|4000|274|15,525|0,069|
01|0|01|30253|2022-10-05 05:52:17|PR-0432|13937191|4|26240498|100000054908|007 - ESTAMPAR EM 03 ESTAGIOS|4000|274|15,525|0,069|
12|0|01|30257|2022-10-05 06:48:45|SP-0457|12329862|4|53490331 LD|870000319209|035 - SOLDAR PORCA|500|395|0,404|0,79|
01|0|02|30259|2022-10-05 06:56:14|PR-0437|13940105|4|26240512_504|10000005480310|003 - CORTAR BLANK|6926|0|2,352|0|
01|0|09|30260|2022-10-05 06:56:46|PR-0437|13940177|2|26240510 LD|10000005480910|003 - CORTAR BLANK|3202|0|2,053|0|
01|0|09|30260|2022-10-05 06:56:46|PR-0437|13940256|2|26240502 LE|10000005490910|003 - CORTAR BLANK|3903|0|2,502|0|
01|0|01|30261|2022-10-05 06:57:37|PR-0123|13938653|4|517169880|87000031070220|006 - ESTAMPAR EM 02 ESTAGIOS|3000|5548|0|1,849|
01|0|04|30264|2022-10-05 07:10:24|PR-0439|13942261|2|52043976|10000003360120|006 - ESTAMPAR EM 02 ESTAGIOS|2000|0|6,667|0|
01|0|05|30265|2022-10-05 07:10:57|PR-0439|13942122|2|52043976|100000037101|016 - FURAR|2000|0|4,762|0|
01|0|01|30266|2022-10-05 07:12:13|SP-0462|13937500|4|26228172|10000005600130|060 - SOLDAR PARAFUSO PROJECAO|2000|916|5,42|0,458|
01|0|03|29726|2022-09-30 06:17:45|PR-0435|13901635|4|52056310|100000034701|006 - ESTAMPAR EM 02 ESTAGIOS|1300|938|1,574|0,722|
